Proj_Own,Spread,Total,L3_Air_Yards,L3_Targets,L3_Rush_Att,L3_Pass_Air_Yards,L3_Pass_Att,L3_CPOE,L3_WOPR,L3_Target_Share,L3_Air_Yards_Share,L3_Rush_Share,Own
2.7,4,48.5,0,0,1.33,191,34.33,-3,0,0,0,7.6,0
4.3,7.5,47,0,0,1.67,202,34.33,-0.33,0,0,0,8.8,4.44
0.8,-6,42.5,0,0,2,231,35.67,3,0,0,0,7.4,0
0.9,7.5,42.5,0,0,2,280.33,38,1,0,0,0,8.4,0
5.3,-3,55,0,0,1.33,339,43.33,2,0,0,0,9.8,7.68
3,-3.5,51.5,0,0,0.67,311,39,1.33,0,0,0,10.5,2.22
5.3,-6,49.5,0,0,0.33,377.33,42,5.67,0,0,0,4,5.55
4.6,-3.5,56,0,0,0.67,369.67,43.33,0.33,0,0,0,5.9,0
5.4,7,52.5,0,0,0.67,378.67,43.67,1.67,0,0,0,5.9,2.38
4.9,4,48.5,0,0,0.33,226.33,37,8.67,0,0,0,3.7,0
5,-3,51.5,0,0,0.33,161.67,35.33,-1.33,0,0,0,3,2.22
4.2,7,49.5,0,0,0.33,235.67,37.67,5.33,0,0,0,4,0
1.6,-5.5,41,0,0,1,237.33,37.33,6.67,0,0,0,5.6,0
0.4,-1.5,48,28.33,5,0,0,0,0,0.3,14.9,11.4,0,0
0.1,11,54.5,7.67,1.33,0,0,0,0,0.08,3.7,3,0,0
0.3,-1,52.5,7.67,1.67,0,0,0,0,0.13,6.2,5.2,0,0
1.4,7,48.5,49.67,6.33,0,0,0,0,0.57,24.2,29.1,0,0
1.1,7.5,46.5,38,5.67,0,0,0,0,0.46,20.4,21.8,0,0
4.7,4.5,55.5,26.67,6.33,0,0,0,0,0.38,20,11.3,0,2.22
1.9,-3,52.5,20.33,5,0,0,0,0,0.27,14.4,7.5,0,2.22
0.7,-7,48.5,24.33,4.33,0,0,0,0,0.26,13.1,9.2,0,0
2.4,-3.5,55.5,34,4.67,0,0,0,0,0.34,16,14,0,0
3.9,6,49,37.33,6.33,0,0,0,0,0.37,18.8,12.9,0,0
3.1,3,55.5,39.67,5.67,0,0,0,0,0.38,18.5,14.4,0,4.45
1.1,-3,47,41,6,0,0,0,0,0.37,17.7,14.9,0,0
1,6,41,0,0,1.5,343,41,-3.5,0,0,0,7.3,0
1.6,4,46.5,0,0,1.33,306.33,41.33,-2.33,0,0,0,6.5,2.22
2.4,7.5,44,0,0,1.33,259,38,0.33,0,0,0,4.9,2.22
3.8,3,50,0,0,0.67,250.67,38.67,4,0,0,0,4,2.56
2,1,51,0,0,1,230.67,32.67,3.33,0,0,0,4.5,2.22
1.4,4,44,0,0,0.67,211.67,36.67,2.67,0,0,0,6.1,0
